"reviews_review","reviews_user"
"AGGIUNGI UN POSTO A TAVOLA
In principio sembra di essere dentro “I Remember” di Joe Brainard, magari nella versione transalpina di George Perec, “Je me souviens” **.
Ma la sensazione è breve, solo le prime poche pagine: poi, gli elenchi, e le liste dei ricordi si fermano, lasciano posto a una memoria più collettiva, che però non trascura mai il punto di vista personale.
Non è un ‘io’ che ricorda e racconta, ma un ‘noi’. Un plurale che abbraccia e coinvolge, tutti.
È l’unione tra esperienza individuale ed esperienza storica, tra storia e Storia, tra micro e Macro.
Il ricordo s’interseca e si mischia con la memoria, si sostengono e nutrono a vicenda, la crescita del singolo è parte delle trasformazioni che coinvolgono il Noi.
Annie Ernaux racconta il nostro tempo, e così facendo, scrive la nostra vita insieme alla sua.
È come leggere il proprio diario scritto da qualcun che scrive molto meglio di noi. È come immergersi nel proprio passato e presente, è come vivere e ripercorrere il proprio tempo.
Per quanto riguarda la sua esistenza, quando il ‘noi’ diventa un ‘io’, espresso però attraverso un ‘lei’ che sembra allontanare e ridimensionare l’urgenza del soggetto, della sua personale vicenda Annie Ernaux seleziona parecchio e tralascia tutto il racconto della sua carriera artistica. Che l’io/lei che si esprime sia anche una grande scrittrice è lasciato fuori.
È però ben presente il percorso di formazione di questo testo specifico, lungo decenni, faticoso, ragionato, iniziato forse più volte, e forse più volte abbandonato, ma sempre tenuto vicino, sempre sentito importante, vitale, urgente: nonostante la lentezza e lunghezza del processo di composizione narrativa, attestato più volte all’interno de “Gli Anni”, si percepisce una tensione e una necessità che ha qualcosa di erotico.
Il ricordo prende il via dai pranzi domenicali della famiglia, ripetuti ritmicamente nel tempo, momento collettivo per antonomasia: i nonni e i genitori quando chi scrive è ancora figlia, che poi diventa adulta, incontra un uomo, e i nonni se ne sono andati per lasciare il posto a tavola a nuovi arrivati, che man mano diventano i figli della scrittrice, da figlia diventata madre, e poi i nipoti divenuti adulti, la vita si ripete e continua attraverso gli incontri intorno a un desco.
Il ricordo si nutre anche delle fotografie di famiglia: i passaggi di tempo, lo scorrere degli eventi è scandito dalle fotografie che Ernaux descrive, così come dai pasti dei giorni di festa che racconta.
Scrittura lenta, e lettura profonda.
Scrittura neutra, quasi obiettiva, che non giudica, non impone valutazioni, senza condanne e senza metafore, tesa a restare all’interno del confine dei fatti e delle cose: supermercati, mezzi pubblici, prodotti commerciali e oggetti di consumo sono parte fondamentale della memoria tanto quanto aspetti del vivere solitamente considerati più degni, più ‘alti’.
Il libro si chiude su una frase particolarmente significativa che condensa l’intento letterario di Annie Ernaux:
Salvare qualcosa del tempo in cui non saremo mai più, salvare le immagini che scompariranno
Un libro bello. Molto bello.
Secondo me, anche importante. Prezioso.
Un libro che mette i brividi.
Un libro che fa sognare.
Un libro che abita il tempo, e la memoria.
**
Gli elenchi sono ormai strumento banalizzato, se ne è persino appropriata la televisione.
Ma le liste dei modi di dire, del lessico comune che rappresenta un periodo, un determinato tempo, sono rari e magnifici, e ho l’impressione che resteranno nel futuro così come ci sono arrivati i caratteri cuneiformi, e saranno meritevoli di essere conservati e riscoperti, ci rappresenteranno come i geroglifici hanno fatto per gli antichi egiziani.","Orsodimondo"
"What a fabulous collage of life - Ernaux melds history, feminism, and pop culture with snippets from her own experience since the 1940s, casting her life into sharp relief through a combination of imagery and analysis. The book accumulates as it goes, picking up speed as life accelerates - the 90s blip by in a way the tumultuous 60s in Paris don't. The contexualization of life with history is jarring - proof with relative time - and the book is uniquely effective. Though it has its slowness, I looked forward to reading this every day.
""Because in her refound solitude she discovers thoughts and feelings that married life had thrown into shadow, the idea had come to her to write ""a kind of woman's destiny"" set between 1940 and 1986. It would be something like Maupaussant's A Life and convey the passage of time inside and outside of herself.""","Adam Dalva"
"Permítanme que, como Ernaux, empiece con una cita de Chéjov:
“Lo que querría es salvarlo todo, lo que ha existido alrededor suyo, continuamente, salvar su circunstancia.”
De esto se trata, de dejar constancia de una vida individual en el contexto social y sentimental en el que esta sucedió, “salvar algo del tiempo en el que ya no estaremos nunca más”, el mismo objetivo de Proust, uno de sus autores preferidos, aunque, obviamente, no comparta ni mirada ni experiencia vital ni estilo, lento, detallista, sentimental y laberíntico el de uno, seco, cortante, distante y directo el de la otra.
“Una de las grandes cuestiones susceptibles de hacer que avance el conocimiento de sí es la posibilidad o la imposibilidad de determinar cómo, en cada edad, cada año de la existencia, se representa uno el pasado.”
Y así es como ella procede en esta nueva entrega, nueva para mí, de Ernaux: una sucesión de párrafos cortos sobre un sinfín de detalles de su vida personal y colectiva a lo largo de más de sesenta años, y como esos recuerdos, así como la idea que iba teniendo de sí misma y de sus futuros deseados en cada uno de los presentes, han ido también cambiando a lo largo de Los años.
Verdaderamente, envidio al público francés coetáneo de la autora por este documento sobre la Francia post Segunda Guerra Mundial. Aunque el mundo se haya ido globalizando y todos los occidentales compartamos muchos de los hechos históricos y los procesos sociales y políticos que se han ido produciendo, aquellos que no hemos vivido en Francia durante Los años no podemos tener con la autora la complicidad que conlleva esa memoria sentimental compartida repleta de noticias locales, personajes políticos, intelectuales, libros, películas, actores y actrices, canciones, artistas, famosillos, víctimas de horribles o simpáticos sucesos, eslóganes, anuncios o programas de radio y televisión, multitud de iconos que solo pertenecen a una generación en un tiempo y en un espacio concreto. Y, aunque no me considero ese tipo de lector que necesita imperiosamente identificarse de alguna forma con la historia leída, me habría encantado compartir toda esa carga sentimental con la autora.
“Todo se borrará en un segundo. El diccionario acumulado de la cuna hasta el lecho de muerte se eliminará. Llegará el silencio y no habrá palabras para decirlo. De la boca abierta no saldrá nada. Ni yo ni mí. La lengua seguirá poniendo el mundo en palabras. En las conversaciones en torno a una mesa familiar seremos tan solo un nombre, cada vez más sin rostro, hasta desaparecer en la masa anónima de una generación remota”.
No obstante, he caminado gustoso a su lado durante todo su periplo personal, una historia marcada por victorias que terminaron convirtiéndose en derrotas: empezando por su paso por la universidad que acabó por sentir como la ruptura con su mundo de origen, las grandes ilusiones y decepciones políticas —mayo del 68, Mitterrand, la igualdad entre hombres y mujeres (creo que las mujeres también lo disfrutarán aún más que nosotros)…—, su matrimonio, la llegada de nuevos tiempos en los que “la profusión de cosas escondía la escasez de ideas y el desgaste de las creencias”, hasta ese momento en el que nos damos cuenta que hemos pasado de relegar a nuestros padres por haberse quedados anclados en el pasado a ser arrinconados por nuestros hijos que, al igual que nosotros unos años antes, en la seguridad de saberlo todo de la vida, se burlan de nuestra incompetencia y de nuestras trasnochadas ideas sobre casi todo, hasta ese momento, vivido como la derrota definitiva, en el que somos conscientes de que el futuro ha dejado de ser un “espacio de fondo ilimitado”.
“Le invadía la vieja impresión de sentirse fuera de la fiesta.”
Una novela de derrotas que sin embargo termina con una gran victoria, la escritura de esta novela para la que tanto esfuerzo gastó durante años hasta encontrar la forma definitiva y que consiguió salvando tanto a una tercera persona con su “demasiada exterioridad, alejamiento” como a la primera y su “demasiada permanencia, estrechez, asfixia” y con la que consigue emocionar sin buscarlo, invitándonos e incitándonos a repasar también nuestra vida y volver a aquellos hechos, propios y colectivos, que marcaron las etapas de nuestra historia y así, como la autora, poder “unir esas múltiples imágenes de ella, separadas, desajustadas, mediante el hilo de un relato, el de su existencia”.","Guille"
"This book is essentially an autobiography structured around a chronology of French history, politics and societal change from WW II to the present. What follows is a summary rather than a review. While I avoid spoilers related to the author’s personal life, I really have to say SPOILERS FOLLOW.
The author (the 2022 Nobel Prize winner) picked a bad time to be born: 1940, right at the start of WW II. She grew up in a small town in Normandy, 90 miles from Paris, when people still didn’t travel much. “…when you never leave home, even the next town is the ends of the earth.” People who had seen the Eifel tower “took on an air of superiority.”
Sections of the story are introduced by photos, later movies, and videos of a girl and her family as is someone is flipping through an old album.
Some of the things we read about:
Black and white TV, radio and television jingles for products; the annual Tour de France bicycle race where she tracked riders' progress with dots on a map. They had radios but saw TV only in cafes and in store windows where people gathered to watch. All the religious stuff: boys and girls sat on separate sides in church, no meat on Fridays. The hardship of poverty – never throw anything away. Newspaper used as toilet paper. Her schooling at a parochial girls’ school and all the crazy misinformation girls spread about sex.
We mark time by great events like a railway strike in 1953 and the fall of Dien Bien Phu, 1954. The fighting in Algeria. There are big international events too: the building of the Berlin Wall, the Cuban missile crisis, JFK’s assassination, Mao, the Beatles.
As a young teen she feels backward. Her family doesn't have a Frigidaire on indoor plumbing and she still hasn’t been to Paris. But there is an onslaught of new things: plastic cooking utensils replace metal ones; a gas stove replaces coal; a Formica kitchen table replaces the old wooden one covered with an oilcloth. Record players, hula hoops, transistor radios.
(This is not from the book, but from a magazine article I read recently mentioning how important the cheap transistor radio was that every kid could have. Parents controlled the music on the TV and the expensive big radio and record player in the living room. But now kids could listen to their own music in their rooms. Bing Crosby and Patti Page, parental favorites, did not promote rebellion.)
The author tells us that the feeling of endless progress was so strong in the 1960s that people talked of having a pill for food in 2000, robots would do the housework and people would be living on the moon. Did that happen?
There was ‘a pill’ though. In France, only available to married women. Girls thought “We’d be so free in our bodies it was frightening. Free as a man.”
The author makes much of the student strikes and political turmoil that upended the French nation starting in May 1968. That was a watershed in French history. She tells us that even years afterward, you might meet someone and think ‘What side was he on in 1968?’ After those events, “Now, everything one considered normal had become the object of scrutiny.” She writes “1968 was the first year of the world.” After 1968, ‘everyone was supposed to be listened to’: women, gays, miners, prisoners, prostitutes.
Now the pictures in the album become those of a young married woman with kids, bringing in bags of groceries from a car. It was an era of materialism. “Spending was in the air.” And “The ideals of May 1968 were being transformed into objects of entertainment.” People dreamed of a country life (which most had gladly left behind by then), while they flocked to cities and suburbs.
But she tires of this life. Her new symbol is a shapeless dress that indicates “Fatigue and an absence of a desire to please.” She is seized “…for the first time by the terrible meaning of the phrase I have only one life.” [LOL When is GR going to let us use italics without special formatting?]
The socio-political environment changes again. It’s a time of concern about Arab immigration – the Banlieue ghettos. Catholicism has essentially vanished from their lives. Sony Walkmans and computer games amplify the process of walling oneself off from society that began with the transistor radio. At a later age the author tells us the computer was “…the first object to which we ever felt inferior.” “We never ceased to upgrade. The failure to do so meant saying yes to aging.”
I found it fascinating too that way back, starting in the 1960s, the anti-immigration platform of right-wing political leader Jean-Marie Le Pen (father of Marine Le Pen who has continued his prejudices) presaged the racism and antisemitism of today’s American political scene where Le Pen “…was the guy who said out loud what others were secretly thinking.”
Late middle age is a time of dispossession. The kids have left home; the husband is gone, furniture is being sold off, parents are gone or going.
Did you ever read a book where you WANTED footnotes? There are dozens of references to French events that most Americans will be clueless about. Just one example: she mentions ‘the Petit-Clamant attack.’ That’s it. You have to look it up if you want to know that’s the name of a town where a hit squad fired machine guns at President de Gaulle’s car in an assassination attempt in 1962. (There are 20 or so footnotes, I guess for references that even French people might find obscure, but believe me, an American needs many more footnotes. We know from context that many are references to grisly crimes, such as Bruay-en-Artois.
I loved the book because I enjoyed learning about recent French history and politics. The author is a bit older than me but the timeline for innovations is about the same as it was for me since the US was probably a few years ahead of France in our ability to buy consumer stuff.
This is the second book I've read by the 2022 Nobel Prize winner (b. 1940). Almost all of her work is autobiographical. Her books in order, catalog her parents’ lives, her teenage years, her marriage, her affair with an East European man (Simple Passion, the first book of hers I read), an abortion she had, the onset of Alzheimer's, her mother's death, her battle with breast cancer.
Top photo the author in the 1960s from annie-ernaux.org
Demonstrations in Paris in May 1968 from thenewyorker.com
The author from nytimes.com
[Revised 6/21/23]","Jim Fonseca"
"Update: Huge congrats to Annie Ernaux —- Nobel Prize of Literature for 2022.
“The Years”, a translated memoir, was shortlisted of the 2019 Man Booker International Prize. It starts in the year 1940....until Annie Ernaus’s sixty-sixth year.
This my first experience with Annie Ernaux. I haven’t read her novels, yet.
I enjoyed the thoughts “The Years” stimulated about memories, aging, family stories from one generation to the next - the culture in which Annie grew up - the depths and influence the world wars had on Annie associated with family members who lived through those horrors of war.....
And....I liked the narrative - the dinner conversations. I especially enjoyed hearing about her early childhood and teen experiences.
The rest of this review will highlight parts I liked - relating them to my own life-of-limitations.....(with those universal thoughts: again....yes, again, about love, loss, family, world and family history, and death).
“I’m capable of the best and the worst, but at being the worst I am the best!”
“Everything will be erased in a second. The dictionary of words amassed between cradle and deathbed, eliminated. All there will be is silence and no words to say it. Nothing will come out of the open mouth, neither I nor me.
Language will continue to put the world into words. In conversation around a holiday table, we will be nothing but a first name, increasingly faceless, until we vanish into the vast anonymity of a distant generation”.
“Memory was transmitted not only through the stories but through the ways of walking, sitting, talking, laughing, eating, hailing someone, grabbing hold of objects. It passed body to body, over the years, from the remotest countrysides of France and other parts of Europe: a heritage unseen in the photos, lying beyond individual differences and the gaps between the goodness of some and the wickedness of others. United family members, neighbors, and all those whom one said ‘They’re people like us’, a repertory of habits and gestures shaped by childhoods in the fields and teen years and workshops, preceded by other childhoods, all the way back to oblivion”.
“We felt nothing in common with the ye-yes, who said ‘Hitler never heard of him, and their idols’, who were even younger than we: girls with pigtails and songs for the schoolyard; A boy who bellowed and writhed on the floor of the stage. We had the feeling they’d never catch up to us. Next to them, we were old. Perhaps we would die under de Gaulle”.
“But we were not adults. Sexual life remained clandestine and rudimentary, haunted by the specter of ‘an accident’. No one was supposed to have a sex Life before marriage. Boys believed their lewd innuendos displayed advance erotic science, but all they knew how to do was ejaculate on an area at the girls body to which she directed him, for the sake of caution. No one knew for sure whether or not they were still virgins. Sexuality was a poorly resolved matter on which girls held forth for hours in resistance rooms no boy was allowed to enter”.
“She also imagines herself in twenty years trying to remember the discussions of today—everyone’s—on communism, suicide, and contraception. The women of twenty years from now is an idea, a ghost. She will never live to be that age”.
The narrator, her parents, and friends talked about the hardships in their early lives and the world wars.
They told stories of distant cousins, ancestors and long-ago neighbors.
The narrator says at this generation, that of the parents and earlier:
“From a common ground of hunger and fear, everything was told in the ‘we’”.
There were also many descriptions of photos - black-and-white - or home movies from different times of the narrator’s life.
Annie Ernaux was born in 1940. She grew up in Normandy. She taught high school from the years 1977 to 2000, and was a professor at the Center National d’Enseignement par Correspondence.
She was considered one of France’s most esteemed living writers, her books have been subject to much critical acclaim. She won the prestigious Prix Renaudot for “A Man’s Place” when it was first published in French in 1984.
The translator, Alison L. Strayer is a Canadian writer and translator. Her work has been shortlisted for the Governors General’s Award for Literature and for Translation, the Grand Prix du liver de Montreal, and the Prix litteraire France-Quebec. She lives in Paris
I’m not French savvy....not anything savvy....but this short read - about 150 pages - kept me company during the dark sleepy hours -
I felt a warmth of connectedness to Annie, her family, and the horrors of the world wars.
I enjoyed this enough to want to read a novel by Annie Ernaux","Elyse Walters"
"müthiş, müthiş bir kitap. uzun süredir bu kadar etkilendiğim bir şey olmamıştı.
otobiyografik ama anlatım tarzıyla değil.
kişisel ama inanılmaz politik.
neyi neden yaptığını açıklıyor ama nasıl bu kadar ustalıkla yapabildiğine akıl sır erdiremiyoruz.
1940'lardan 2010'lara kadarki değişimin fotoğraflar öncülüğünde, anılarla, ders kitabı, film, roman, tv programları, gazeteler, seçimler, ölümler eşliğinde gözümüzün önünde akıp gitmesi.
okuduğum süre boyunca türkiye'yle karşılaştırdım bir de. fransa'da 60'lardan itibaren yaşanan tüketim çılgınlığının, bizde nasıl 90'larda başladığı ve 2000'lerde tüm dünyanın bu konuda nasıl eşitlendiği... teknolojinin nasıl ayak uydurulamaz bir boyuta geldiği... ölüm kalım savaşı seçimlerin hayatımızdaki etkisi... nasıl benziyor her şey.
ve annie ernaux acaba şu pandemiyi nasıl anlatırdı? öyle merak ediyorum ki.
küçücük bir kız çocuktan, adet gören genç kıza, hamile kalmamaya çalışan üniversiteliye, 2 çocuk bakmaya çalışan evli bir kadına, sonrasında boşanmış bekar bir anneye, yaş almış ama kendisini hiç değişmemiş gören olgun bir kadına, büyükanneye dönüşümü anlatan politik, tarihsel bir başyapıt bence. ve kadınlık nasıl aynı aslında her yerde...
sık sık jonathan coe'nun ""yağmurdan önce""sini hatırladım. fotoğraf bağı oldukça benzer ama o kadar tabii.
ve siren idemen sanki ernaux'ya kitabı türkçe yazdırmış. öyle iyi bir çeviri.","Banu Yıldıran Genç"
"I was in a bookshop in Cork city and chatting with one of the managers I know and I asked if anything of worth had actually been published in the last year. He said not really except for one thing. That ended up being this book. He told me to read the first page, which I did, and I was immediately sold.
Ernaux's style of memoir-as-social-history is such an enjoyable form of writing. It reminded me of reading Alexievich for the first time, that discovery of a whole new mode of storytelling. The whole book is such an immersive evocation of French life, rarely have I read a memoir that so engrains the reader into its world.
What a stunning work.","Barry Pierce"
"Structured like a scrapbook, The Years documents the history of France from the time of WWII to the late 2000s. Ernaux patiently examines the aging of the generation that grew up in the wake of the Liberation of Paris, alternating between detailing collective experience in the first-person plural and recounting her own daily life in the third-person singular. The work reads as a slow-moving collage of images, phrases, advertisements, artworks, private memories, and public events, plucked from time and carefully arranged into a continuous narrative. In detached, sometimes dreamy, prose the writer expertly captures the pace of social change, and demonstrates how values and ways of living alter over the years, in an unpredictable, zigzag way.","Michael"
"There's a Citroën Deux Chevaux on the cover of my edition of this Annie Ernaux memoir. I have a memory related to a car like that. It was on one of my early trips to France as a student, and I barely knew how to drive. The owner of the car insisted I take his car for a spin but what with the steering wheel being on the opposite side, the gear shift looking like an umbrella handle, and me being very much in awe of the car's owner, my feet mistook the pedals and I pressed the accelerator to the floor instead of the clutch. The poor car did a dreadful shuddering lurch and its owner ordered me out of the driving seat sur le champ! That embarrassing moment embedded itself deep in my memory. It is always ready to rise to the surface whenever I see a Deux Chevaux.
Many of my memories are in the form of such images, brief glimpses of moments in time, captured by my internal image maker. The images are of things that inspired or moved me, that woke me up or shocked me deeply. They don't surface very often but when they do, they have as much clarity as things I registered only yesterday. When I try to situate them in their wider context however, I often run up against a blank. The time that lead up to them, the time after them, is gone. There is nothing but the moment itself, isolated like a photo in an album. Some of them may not even be real memories. I may have invented them, perhaps from an anecdote I heard or something I've seen somewhere. There is no way to know which are real but it doesn't matter because they are all part of my memories, part of who I am.
Annie Ernaux's memories are much clearer than mine. When she focuses on isolated moments from her past, she doesn't rely on internal images as I seem to do, though she has many of those to draw on and they fill the beginning and end pages of this memoir which have the feel of a dreamlike movie made up of unconnected scenes. However, the body of the book is much more concrete, devoted as it is to a meticulous examination of photos from Ernaux's family album.
When she examines her selection of photos, she doesn't say, this is me on a day trip to the seaside in 1948 aged eight. Instead she talks about the girl in the photo in the third person, but refers to the girl's generation as 'we'. The 'we' gets much more focus than the 'she'—Ernaux seems driven to merge her personal past with that of her entire generation, and she succeeds very well.
Her France is very vivid, and her analysis of the details of its history, culture and politics feels very accurate. There is no nostalgia, no sentimentality. She is setting down the record because she is aware that France has changed a lot in her lifetime. She remembers a time when there was continuity between the past and the present, when people spoke of the Algerian war, WWII, WWI and even the Franco Prussian war, around the Sunday dinner table. A time when, if people spoke of the future, they had fixed images of it, personal spaceships and robots, etc. In 2006, which is as far as she goes in this memoir, she speaks of the past being uninteresting to the newer generations, and the future, unimaginable. Continuity between the past, present and future has somehow been lost.
I appreciated this book for the way it restores my sense of the continuity of history. After many visits to France as a student and young adult, I moved there in the nineties and reared my children there. Living in the country on a permanent basis, I began to notice things I'd never seen on my previous visits, things like the alienating fringe of warehouse shops on the outskirts of every town, selling everything you needed to set up house. There was always a super-sized supermarket in among those warehouse shops, with checkout desks that seemed to stretch for miles. Those supermarkets sold all sorts of cheap preprepared food that shocked my notions of French eating habits based on holiday experiences of old quaint streets and market places where everyone seemed to buy fresh food and prepare it themselves.
When I read Ernaux's account of those years, I realised that she was as destabilized by the appearance of such huge commercial outlets as I was, and that she was also noticing the changes in people's eating habits as working lives got more stressful and there was no one at home slowly and carefully preparing food. But she never sounds nostalgic (as I might). No, she always sounds objective, just recording all the changes, and revealing how they happened. Her memoir is like a documentary film of 66 years in the life of a country. It is the best kind of history.","Fionnuala"
"Every page of The Years (2008) by Annie Ernaux was like a nutritious bouillon cube that kept dissolving in my thoughts for hours. I do not think I have ever read such condensed prose. It was filled to the brim with reflections, observations and images rooted in the memory of the author, who narrates not only her life, but also the experiences of her generation born during the Second World War. Humour mixes with poetry, politics with individual experience, literature with reality. I think most writers would need multitudes of 256 pages to tell a similar story. Annie Ernaux's succinct, lucid and precise writing style is her memoir's forte.
I wonder if there is a single page in this book on which I have not marked a passage that either made me laugh or marvel at Annie Ernaux's brilliance or simply moved me. Like other readers, I have the impression that if I were born around 1940, preferably in France, I would find even more in The Years. My enjoyment was hampered a bit by the need to check some historical details.
Compared to the memoirs I have read before, The Years is quite unique. Of course, the title made me think of Virginia Woolf's The Years though, which is also a poignant chronicle of fleeting moments. The detailed descriptions of family photos (how I wish the real photographs were included!) reminded me of W.G. Sebald's Austerlitz .
Although The Years is undoubtfully autobiographical, the narrator avoids using the pronoun 'I', it is always 'she' or 'we'. I guess the author's intention here was to distance herself from her experiences, to look at herself from the outside and more objectively, and to emphasise that she is not just an individual but a part of her generation too.
I liked Annie Ernaux's luminous prose, full of the images of a moment, bathed in a light that is theirs alone and kept trying to read The Years as slowly as possible to make the literary bliss last longer. It is not solely Annie Ernaux's merit but also the translator's. Alison L. Strayer did a marvellous job and her afterword is a cherry on top.
Rejection by Juan Carlos Valdeon Riaño.","Jola"
