reviews_review,reviews_user
I read this book in French (because I'm french!). But I comment it in English, beacause I'd like you, English readers who would like to discover French state of mind from the late 18th and early 19th century and also the great History he really lived. It's not really fun, but it's Chateaubriand! So it's clever, pretentious (he could be!), historically very interesting and so many things more!",Gabrielle Dubois
Second half was really good too, focuses on Napoleon a lot, almost a mini biography of Napoleon Bonaparte.
Francois Chateaubriand was a cool guy. I like him. We would have been friends. We have a similar haircut.",Bud Smith
"Typical the work of a man with a large 'ego', looking for justification; more than any other this book has strong Romantic traits. Chateaubriand is a liberal in his principles (freedom is central), but clearly conservative in politics (his option for monarchism); perhaps that explains his marginal relevance as a historical person. But this certainly is a remarkable historical document, presenting an enchanting introspection into a turbulent mind. The most interesting pages treat about Napoleon, the passages on his own public actions are less captivating. And oh, I almost forgot: what a succinct, eloquent French he wrote!",Marc
"""I want to be Chateaubriand, or nothing"" To hunt down...",Bettie
"As I write these last words, on 16 November 1841, my window, which looks west over the gardens of the Foreign Missions, is open: it is six o'clock in the morning: I can see the pale and swollen moon; it is sinking over the spire of the Invalides scarcely touched by the first golden ray from the east: one might imagine that the old world was ending and the new beginning. I behold the light of a dawn whose sunrise I shall never see. It only remains for me to sit down at the edge of my grave: then I shall descend boldly, crucifix in hand, into eternity.
This is an excellent memoir, but it is also much more than a mere retelling of one man’s life. François-René de Chateaubriand is witness to a world in the midst of change. He observes as France goes from an old monarchy to constitutional, after the Republic follows Napoleon and finally a return to monarchy again. Melancholic musings on his childhood and youth convey the slow but sure decay of old rites and customs—ultimately finding its climax in the violence of the French Revolution. Tragedy is on every page, as his family members and acquaintances are sent to the guillotine, or when his sister and childhood companion dies. There is a sombre beauty in the manner in which he dualizes some events of the past, showing them as they appeared to him at the time but equipped with future knowledge. The smile of Marie-Antoinette is paired with the memory of him identifying her jaw-bone in a mass grave.
The memoir stands as a witness to history and a witness to a dying world and it catches a glimpse of what new order is to come. It is also a portrait of personal tragedy, of the melancholy of one man and his attempts to grasp life at its core. The writing is hauntingly beautiful at times, with Romantic renderings of nature and a tender understanding of the human soul.",Nadia
"For an understanding of the romantic temperament that shaped so much mid-19th century European literature, art and music, Chateaubriand's ""Memoirs from beyond the Tomb"" is a good place to start. The title itself envisions a writer, now nothing more than dust, speaking from beyond the grave--a reminder to us, I suppose, of where we will soon enough be (in case we need a reminder!). A common enough perspective, I suppose, but the living author who has become a dead author, in this case Chateaubriand, repeatedly contemplates his future death as preferable to his melancholy, unhappy life. In his construction of things, despite all the good moments--he loved food, took as a lover Madame Récamier, a woman of stunning beauty (see the Francois Gerard portrait), spent time in positions of political importance in London and Rome, traveled to the United States where he claims to have met George Washington, became famous as a writer during his lifetime, etc.--he insists his life was exceedingly bleak. No number of good moments, it seems compensates for the general melancholy of mortality, at least in the eyes of the genuine romantic. This all might seem quite passé, but it remains instructive for those of us who want to understand the past--for some of us not just the 19th century but an earlier time in our own lives when we might, alas, have cherished just such ideas. But this book is much more than just a monument to the Romantic Movement. Chateaubriand, born only twenty days after Napoleon and seeing himself as somehow linked to the complex conqueror, writes of the march to Moscow and back, as well as many other Napoleonic adventures, with great shrewdness and real ambivalence. His account becomes a rich history of his own age; a history told from the perspective of a royalist with, I am sure he would insist, genuine democratic tendencies. A rewarding, important, and at times beautifully written book.",Stephen Durrant
"simply loved this. One of those books that you internalise and stays with you. His childhood! His forbidding father pacing the room from the fire to the end plunged in darkness, in silence! Those encounters with Napoleon. That occasion when the Napoleonic army crosses the river into Russia and he hears music, like in Antony and Cleopatra, the god of war whom he loved now leaving him. Heaven.",Fazackerly Toast
"Whoops, turns out I don’t know French. But someday I might. I’m keeping this little book around for that day.",Mia
"An absorbing memoir of a man who led a most intriguing life. Moving from his early childhood through the various phases of his life, this autobiography reveals many of his personal characteristics and aspirations during a very interesting period of French history.",Bill
Such a great book!!,Maan Kawas
"A very smart man with a sharp quill. Probably one of my first literary love. I fancied the man who'd written such things, lived such a life. Damn he's got some ego, but mostly well deserved.
His memoirs are an amazing glimpse in the life and politics of some of the richest and most turbulent decades of french history.",Elenora
I felt like I belonged in the Tombe after reading this ponderous book.,Marianne
"Literally ""Memoirs from Beyond the Grave"" is an autobiography in 42 volumes. The version I read had volumes 9-12, covering life and travels from April to September 1822, revised in December 1846.",D
"over rated. poor little rich kid grows up , flees france to save his head from the revolution. very self absorbed ponce.",Stosch
"I was handicapped by lack of knowledge of French history, but I found the sections about Napoleon amazing.",Pam Strachan
