"reviews_review","reviews_user"
"Fascinante, melancólico, revelador... Una maravilla.","José Nebreda"
"J'ai trouvé intéressant de voir la Révolution française et la fin de l'Ancien Régime à travers les yeux d'un aristocrate déchiré entre ce monde qui disparaît et dont il se dit le dernier témoin et ce monde nouveau qui se construit lentement dans le sang. C'est une vision avec un certain recul, mais moins que celle que peuvent avoir les historiens actuels par exemple. Cela se marque notamment dans l'aspect personnel et intime qu'il apporte au genre des mémoires, sans tomber dans l'autobiographie rousseauiste. Ses réflexions sur le temps qui passe et la mort des êtres aimés par exemple sont très touchantes. J'ai retrouvé dans ces Mémoires son style romantique d'Atala et René, mais en plus mesuré, moins excessif, et donc plus agréable à lire pour moi.","Amandine"
"Des passages magnifiques, un témoignage sur cette période troublée de l’Histoire rare et passionnant, bercé de mélancolie.","Raphaël S."
"« Il n'y a point d'âge légal pour le malheur. » (There Is No legal age for misfortune).
Indeed, Chateaubriand's life was almost romantic, tragic, terrible and fantastic. I see his memoirs like a confrontation between a dying old order (the aristocrats, the old French regime – Chateaubriand belongs to them) and a “new“order, modern, born of the Revolution. His memoirs cast another glance at the nineteenth-century birth. While Saint-Simon and then Auguste Comte are in the process of founding a religion of progress of mankind toward a future full of happiness; Chateaubriand sees this like an utopia and death through his testimony. A great reading. Far more enjoyable than Les Confessions of Rousseau.","Licinius"
"Je me suis plutôt ennuyée en lisant ce livre. Le mec n’a pas le moral, ne semble pas connaître l’amour (d’où peut-être son moral à zéro) et j’ai trouvé l’écriture un peu décousue. J’ai tout de même appris beaucoup de choses, fait de belles découvertes (son voyage en Amérique était vraiment le passage le plus passionnant). Il écrit bien certes mais globalement il m’a plutôt ennuyée. Bref, j’avais envie de lui dire de se tourner un peu plus vers les autres et moins sur sa petite personne, ça aurait peut-être été plus passionnant. Farewell François-René, je doute que nous nous reverrons!","Aude Alexandre"
"No soy yo el más adecuado para indicar el valor de estas memorias como documento histórico. Como lector de a pie me he encontrado un relato vibrante, muy alejado de los libros de texto, de esos sucesos que cambiaron la cara de Europa para siempre. También hay mucha descripción de lugares que no me han interesado, retratos de personajes perfectamente olvidables y olvidados y bastante autobombo porque Chateaubriand está encantado de haberse conocido.","Juan Fuentes"
"Je trouve ça totalement ""inutile"" de faire une critique de ce pavé de la littérature. Non seulement, parce que je n'ai lu qu'un tiers de l'oeuvre, mais aussi parce que tout a été dit (je crois). J'ai trouvé que la lecture des Mémoires était assez facile (plus que je ne le pensais). J'ai bien aimé les envolées romantiques de Chateaubriand, mais je dois avouer que les anecdotes historiques... c'est moins ma passion.
C'est, malgré mes remarques un peu futiles, une grande oeuvre.","Blanche"
"Dans la catégorie des livres qu'il faut lire dans sa vie, ce premier tome est un délice d'écriture. Absolument indispensable ? pas convaincu.","Jean-François Lisée"
"Read - books 1, 6,7,8.
It really is not my cup of tea, at all. It was so boring to me, and put me in a reading slump...","Valentine"
"Fantastique storytelling précis et poétique à la fois","Stéphane"
"No es algo para mí, pero fue interesante ver las memorias de alguien que vivió en primera fila muchos eventos históricos. Quizás con más tiempo le dé una segunda oportunidad.","Giancarlo Marquez"
"Magnífica recreación de la revolución francesa a través de un personaje que fue testigo directo del nacimiento de la Europa post revolucionaria","David Fernández"
"J'ai relu ce livre que j'avais adoré en terminale. Passionnant et moderne !","Evelyne"
"Bien aimé les portraits des personnages historiques, ses contemporains.","Salluste"
