"show_more_reviews_review","show_more_reviews_user"
"I really needed to read this book. And I knew it from the moment I’d heard about it. I pre-ordered it so it arrived on launch day - yesterday - and I’ve just spent the better part of both today and last night devouring it.
It’s a memoir. By a journalist - who sadly passed away last year, meaning her words have been published posthumously - who grew up in the Scottish town of Motherwell.
The book touches on class, on individualism, on moving away (both mentally and physically) from a small Scottish town. It dives into narcissism, motherhood, family, pride, shame.
I read it and felt so defensive at times, so narcissistic at times, so sad at times, and yet so joyful throughout.
It was like when someone is saying something resonant and you can just FEEL the agreement and acknowledgement and YESMETOO pulsing through you so hard that all you can do is enthusiastically nod and smile and YEPYEPYEP, cheering them on as they go.
My life has been both so different and so similar than Orr’s; mine far less traumatic. And it was like reading my own thoughts at times; my own shameful thoughts as well as ones that I’m proud of. I’m not sure I’ve ever been so affected by a book.
I’ve been thinking a lot about class, mobility and home of late, which made it even more of a journey that felt so tied to my current emotions and state of mind.
In short, this book will stay with me forever. I don’t know if it will do that for everyone, mind you. But I whole-heartedly recommend it all the same.","Gemma Milne"
"Deborah Orr's journalism was always a pleasure to read, and I enjoyed getting to know her abrasive personality on Twitter in the months before her death. The memoir of her childhood in Motherwell does a great job of evoking the time and the place, from the points system of council housing to the destruction of a town when its industry dies. Much of this was so very familiar to me as a Glaswegian who has visited Motherwell over the decades only ever to watch football, and once for a tattoo convention.
What I struggled with was her returning again and again to cod psychology diagnoses of her family's possible narcissistic tendencies. The family episodes evoked as trauma, all seemed rather inconsequential and unremarkable, and her inability to see things from a perspective other than her own I found frustrating. It is a memoir, and I guess that's the point, but I wanted to speak to her, to hear more, to debate. That is obviously impossible. Maybe that is what is frustrating.
She is touched by her father in his dying days being unaware that he had been loved by others. I suspect she was more like her parents than she realised.","Paul"
"Everyone who grew up in SW Scotland in a similar time to Deborah will enjoy her evocation of those decades; the schemes; the Craig; school days. And sadly also perhaps recognise the typicality of Deborah’s early experience with men too. These parts of the book were well written.
What I found surprisingly badly written for an award winning journalist was the bad analysis of her family’s and indeed the whole community’s supposed narcissism which she came back to tediously time and again. I don’t think her relationship with her parents was any worse then any one else in that time. None of our parents wanted us to lose our virginity and stop being their wee girl. Her over dramatisation and over-analysis of it all was ridiculous and I can only assume she was subject to the therapists couch rather too much to be able to blame her parents for so much. I am sorry to know that she died shortly after writing this stuff without obviously having worked through those feelings and realising all that Freudian analysis was guff!","Kirsty Keddie"
"In tears by the end, I knew this would be a tough read emotionally but it really did get me. It’s the town I’m from, and there’s so much I recognise even as so much of it changed and keeps changing. The familial stuff was the hardest, as I suspected. The thing about being from somewhere small that doesn’t produce many people like you is that you relate so hard to anyone else who gets out, who writes, who has the same struggles and connections.
Saddest of all is the peace Deborah seemed to have found by the end, only to be robbed of more years to enjoy that peace. This might be the most tearful book review I’ve ever written so sorry if it doesn’t make much sense!","Lola Keeley"
"I can see I am out of step with the general feelings on this book, but to me it was very dull - just another 'look at poor me' outpouring which did nothing to endear me to the author. Hopefully the reading will bring the pleasure to others that seems to be the view of the majority of reviewers as I hate to see effort go unrewarded.","JoJo"
"Motherwell is the late Deborah Orr’s memoir to her past; her childhood, her roots and her family relationships are all covered at length within these pages. It’s a compelling read, one that really made ne think. There were many parallels with my own upbringing, as a child growing up in the 70s I winced and laughed at many of her recollections and I empathised hugely with her relationships with her parents. She brought John and Win to life so vividly that I felt I knew them myself. I could empathise with the people they were - but also empathise with Deborah for being part of the next generation with wholly different idylls and dreams. I guess that means I’m not a narcissist - a term that is referred to endlessly throughout this memoir.
I found it quite heartbreaking that Deborah had struggled with the relationship with her mother for most of her life and at a time when she was finally free of all shackles her life was cruelly cut short.
This is a really powerful yet poignant book, I’ve been meaning to read it for a few years and I’m pleased I finally got round to it. I’ll be thinking about it for a long time.","Jo_Scho_Reads"
"I liked Deborah Orr in life, admired her journalism and was saddened to hear of her death. Similarly, her memoir resonated on many fronts: life in a stagnating, anti-intellectual northern industrial city. The smothering insularity. A mother who is at once supportive and subversive. That said, this didn't quite hit with me as I thought that it would. I understand the baggage that comes with emotionally distant parents, but couldn't help but will Orr to get over it and move on. Likely my fault rather than the book.","Kris McCracken"
"I enjoyed about 50% of this book, as a historian I loved the retrospective look at childhood and adolescence in the 60s and 70s - Deborah Orr paints a vivid portrait of life as a post-war child and the challenges that her parents faced. I also enjoyed learning about her journey through life - I think its always inspiring to hear real stories of strong, successful women brought up in a working-class community - who haven't forgotten their roots.
The only aspect of this memoir that I struggled to sympathise with was Orr's often scathing analysis of her parents and their decisions. Granted, everyone's parents impact upon their life trajectory, regardless of their intention. However, I feel like this memoir took the line of simply blaming the author's problems on her parents, as opposed to analysing to what extent her parents had the agency to control their own childhood and it's effects. I do think this will resonate with some people though, just not with me.","Beth Godmon"
"Read for book group. Hard to tell who Orr disliked most, herself or her parents? Harsh critique of life growing up in the sixties and seventies when the lives of mothers were limited in ways we can barely comprehend today. Win was typical of her era and upbringing, Orr’s memoir was cruel and unsettling.","Judith"
"Memoir, also perhaps revenge? There is a lot of anger here, and rightly so on occasion. What is particularly interesting to me is the number of elements in the behaviour of the people around her in childhood which I recognise in the people around me - perhaps it was all less individual than both she and I have probably thought, and more the product of a particular era (I am the same age, more or less). The ways things were growing up in the 1960s and 1970s is instantly recognisable, even though the place and social status were a bit different for me. The parent-child relationship is a complicated one, but reading this I wondered whether some of the problems experienced by the child might be made worse in the long run by not challenging unreasonable behaviour before it goes on getting worse - especially once you are an adult. The episode in which her parents summon her at 2 a.m. to have a go at her for sleeping with a boyfriend, something which they found out about by going through her handbag and opening and reading a letter which she was going to post to him, is extraordinary - no acknowledgement that they had done anything wrong, or that she was by now an adult and no longer theirs to control. We tiptoe around trying to avoid the trigger subjects that will set off a bigoted rant or some other piece of nastiness, and in the end it doesn't do anyone any good. I was quite shocked at some of the other things which happened to her, too.
This is an interesting and readable book which gave me a lot of food for thought. I didn't feel comfortable with the occasional disguised digs at her ex-husband, but there was less of that than I feared.","Helen"
"I read an uncorrected proof, in advance of the January 2020 publication, so I can’t say too much. Except to say that this memoir is exceptional. Poignant, beautiful, heartbreaking - even more so since the author’s premature death. I hope her children take some comfort in reading this in their grief - or further down the line - so that they may better know and understand their mother, and their grandparents. It’s tragic and insightful and I didn’t want it to end.","Angela"
