"reviews_review","reviews_user","show_more_reviews_review","show_more_reviews_user"
"Memoirs of an Egotist, Stendhal’s fragmentary autobiographical work, is alert, wry, and perpetually self–questioning. Through a series of apparently random impressions of the political, social, and artistic movements of the world around him, he imbues a range of human experience, from the mundane to the extraordinary, with the significance it deserves. Foreword by Doris Lessing.
Containing everything from delightful thumbnail sketches of his friends and colleagues, to lyrical remembrances of gardens and operas and tenderly amused descriptions of tea with London prostitutes, Memoirs of an Egotist is as startling as it is revealing. French writer Stendhal (1783–1842) is most famous for his two realist masterpieces, The Red and the Black and The Charterhouse of Parma.","","",""
"Marie-Henri Beyle, better known by his pen name Stendhal, was a 19th-century French writer. Known for his acute analysis of his characters' psychology, he is considered one of the earliest and foremost practitioners of realism in his two novels Le Rouge et le Noir (The Red and the Black, 1830) and La Chartreuse de Parme (The Charterhouse of Parma, 1839).","","",""
"This is a book by a writer, primarily for other writers. Stendhal is carrying out an interesting experiment, and I'm surprised that it hasn't had more of an impact.
Unless you have an unusually positive view of human nature, you'll agree that most autobiographies are dreadful collections of self-serving lies. (No, you said ""Tony Blair"". I never mentioned him). In general, it's easy to point fingers, and of course some people are worse than others. But even the most careful, consciencious, impartial seeker after truth is likely to end up with a variant on the usual mess. Simone de Beauvoir, who I think is about as honest as it gets, complains bitterly that her memoirs are filled with mauvaise foi. Churchill's History of the Second World War is brilliant, but contains flagrant half-truths and omissions; he wasn't allowed to write about Turing and the code-breakers because it was still top secret, and it was psychologically impossible for him to give the requisite weight to the story of the Eastern front.
If de Beauvoir and Churchill can't get it right, what hope for mere mortals? Stendhal was well aware of the problems, and tried to cut the Gordian knot. He wrote down his story very quickly, with minimal or no revision, as if he was writing a series of letters; he also decided from the beginning that it would be published at least ten years after his death, so he wouldn't have to worry about hurting people's feelings. The result is interestingly different from a normal autobiography. It's unavoidably incoherent in places, and often comes across as just rough notes - there are places where the editor says he's left up to three quarters of a page of blank space, presumably intending to fill in the gap but never getting around to it. Often, he talks about people and places without adequate introduction, and I had one finger permanently in the end-notes - Stendhal scholars have spent over 150 years trying to figure out obscure references, and there are still instances where they're stumped.
But you really do have the feeling that this is someone who's not just trying to be honest, but actually succeeding a lot of the time. Three things in particular stand out. He spends a great deal of time regretting love affairs that either went wrong or never happened; he is appalled by the dishonesty and mediocrity of nearly all his fellow-writers; and, although he dearly loves his friends and does his best to explain their stirling qualities, he's completely unable to do so. They're just, you know, great guys.
Even though the first impression is of a very unfinished work, there are lovely fragments scattered through the text. It's rare to have three pages go by without finding something you immediately want to quote. I think this was my favourite passage, though many others ran it close:
Avez-vous jamais vu, lecteur bénévole, un ver à soie qui a mangé assez de feuille de mûrier? La comparaison n'est pas noble, mais elle est si juste! Cette laide bête ne veut plus manger, elle a besoin de grimper et de faire sa prison de soie.
Tel est l'animal nommé écrivain. Pour qui a goûté de la profonde occupation d'écrire, lire n'est qu'un plaisir secondaire. Tant de fois je croyais être à 2 heures, je regardais ma pendule: il était 6 heures et demie. Voilà ma excuse pour avoir noirci tant de papier.
My translation:
Have you ever seen, gentle reader, a silkworm who has eaten enough mulberry leaves? It's not a flattering comparison, but a very fair one! This ugly creature no longer wants to eat, it wants to climb up somewhere and start making its prison of silk.
The animal called the writer is similar. For someone who has tasted the profound pleasure of writing, reading is no more than a secondary pleasure. Many times I've believed it was 2 in the afternoon, and then looked at the clock to find it was 6.30. There's my excuse for having blackened so much paper.
Well, I had better get out of my cocoon and start making dinner. But I do so wish I could reply to him! If you happen to have a time machine, please deliver this note to M. Beyle in 1833; tell him that his book was by no means as dull as he feared, and is still appreciated in 2010. He seemed concerned about its future success, and I'd like to reassure him that his experiment worked out very well.
___________________________________________
I just can't stop thinking about Stendhal's unusual book! Have to give it another star in recognition of that :)","Manny","",""
"On the matter of sex. What I got out of this book was exactly one thing. That in some parts of Europe at the time, women and men were equal in this respect: everybody had lovers. It wasn’t something men did to women. This makes scenes that might otherwise be repugnant resonate with eroticism. Perhaps the equality is merely in the minds of men – but Stendhal is a realist and so I doubt that. An expert in the area might demolish my illusions, however….though I’m not sure I want you to, if you are reading this.
In Chapter 3, two of Stendhal’s friends decide to cheer him up by taking him to see a courtesan.
Alexandrine appeared and surpassed all expectations. She was a tall and slim girl of seventeen or eighteen, already mature….she was quiet and gentle but not at all shy, fairly gay and not unseemly in her behaviour. My friends’ eyes goggled at the sight of her. Lussinge offered a glass of champagne, which she refused, and disappeared with her. Mme Petit introduced us to the two other girls who weren’t bad but we told her that she herself was prettier…..Poitevin took her off. After a dreadfully long interval, a very pale Lussinge returned.
---Your turn, Beyle [ie Stendhal:], they cried. You’ve just come home; it’s your privilege. [not at all sure why getting to go second is special:]
I found Alexandrine on a bed, a little wan, almost in the costume and in the exact position of Titian’s Duchess of Urbino.
---Let’s just talk for ten minutes, she said in a lively way. I’m a bit tired, let’s chat. My young blood will flare up again soon.
She was adorable, I perhaps had never seen anyone prettier. There wasn’t too much licentiousness about her except in the eyes which gradually became suggestively animated and full (you could say) of passion.
I failed entirely with her; it was a complete fiasco. So I had to rely on a substitute which she submitted to. Not quite knowing what to do, I wanted to try this manual expedient again, but she refused. She seemed astonished. Considering my situation, I said several quite good things and then went out.
Of course, I had to hurry off to Google to look up Titian’s Duchess of Urbino. What was she wearing?
Ah…
I should have guessed….
That’s what she’s wearing.
It turns out that this picture is a matter of great controversy – nothing to do with whether you like her outfit, by the way. Mark Twain said of it:
You enter [the Uffizi:] and proceed to that most-visited little gallery that exists in the world --the Tribune-- and there, against the wall, without obstructing rap or leaf, you may look your fill upon the foulest, the vilest, the obscenest picture the world possesses -- Titian's Venus. It isn't that she is naked and stretched out on a bed --no, it is the attitude of one of her arms and hand. If I ventured to describe that attitude there would be a fine howl --but there the Venus lies for anybody to gloat over that wants to --and there she has a right to lie, for she is a work of art, and art has its privileges. I saw a young girl stealing furtive glances at her; I saw young men gazing long and absorbedly at her, I saw aged infirm men hang upon her charms with a pathetic interest. How I should like to describe her --just to see what a holy indignation I could stir up in the world...yet the world is willing to let its sons and its daughters and itself look at Titian's beast, but won't stand a description of it in words....There are pictures of nude women which suggest no impure thought -- I am well aware of that. I am not railing at such. What I am trying to emphasize is the fact that Titian's Venus is very far from being one of that sort. Without any question it was painted for a bagnio and it was probably refused because it was a trifle too strong. In truth, it is a trifle too strong for any place but a public art gallery.
What Twain is saying here, in Tramp Abroad I think, is that if you wrote this picture in words – it would be obscene rather than erotic. Indeed, it has been referred to as the masturbating Venus…so you see what I mean. Interesting in this context, that Stendhal, whether intuitively or consciously knew that to be the case, and thus refers to Alexandrine in this most sexy way without any sex in his language whatsoever. A mere reference to a painting says it all. I’m completely ignorant of art, but I expect back then educated people reading this book would have understood the reference immediately…indeed, maybe everybody else does!
But permit the matter to be more complex. Is it not fair to say that although in this case the exquisitely erotic painting of the Duchess/Venus looking directly as us, her invited lover, hard nipples, touching herself, does the job no words would, to Twain’s chagrin; at the same time, one could readily imagine a tacky picture rendered delicate via choice words. Tit for tat – if you will forgive me putting it this way?","notgettingenough","",""
"""Recuerdos de egotismo"" es un relato íntimo de las vivencias de Stendhal desde 1821 hasta 1830, es digamos la segunda parte de ""La vida de Henry Brulard"".
Es una autobiografía mezclada de algunos eventos falsos y muchos alterados mínimamente pero es en realidad la vida que tuvo Stendhal durante aquel tiempo.
Hay muchas cosas que me gustaron del libro, no estoy seguro pero creo que hay que ser stendhaliano para poder disfrutarlo más, no sé si le pueda gustar a alguien que no conoce a Stendhal o no está interesado en conocer más de él. El relato y sus peripecias al ser tan reales no son necesariamente interesantes, y la manera de contarlo no es precisamente la mejor como en sus grandes obras, en gran parte de seguro porque es (como muchas obras de él) inconclusa, Stendhal no la terminó de escribir.
Hay dos cosas importantes que sin embargo me llaman la atención: lo primero es que para mí Stendhal es fuente de conocimientos no sólo de historias ficticias sino de muchas cosas y lo segundo que es una obra que te permite conocer qué tan ""romántico"" realmente era Stendhal.
Sobre lo primero pues Stendhal como dice en una parte del libro ha conocido a grandes hombres, es una persona que digamos se apasiona por las grandes almas de su tiempo, así como describe todas las personalidades que trató en la época así como juzga obras de sus contemporáneos, así pude conocer más sobre: Napoleón, Racine, Shakespeare, Madame de Stael, Benjamin Constant, Merimée, Daru, Walter Scott, Schiller, Monti, Lancival, y muchos otros personajes que gracias a Stendhal trataré de conocer más, muchos literatos que han escrito libros algunos olvidados que a partir de ahora buscaré.
Sobre lo segundo, es algo que si bien no me sorprende demasiado sí ya me ha hecho comprender algunas cosas de su obra. Stendhal al parecer fue muy desdichado en el amor y es un gran contraste con aquella idea que algunos teníamos y que algunos expertos decían sobre él, que era una persona fría, cínica y mordaz. Muy cierto su obra puede ser así pero luego de haber leído ""Del amor"" y sobre todo ""Recuerdos de egotismo"" nadie puede dudar que era en el fondo (tras la careta, como él mismo dice) un personaje muy sensible y apasionado.","Jesús De la Jara","",""
"Σε αυτό το σύντομο βιβλίο διαβάζουμε τις σκέψεις του. Ειναι η αυτοβιογραφια του και ήθελε να δημοσιευτεί 10 χρόνια μετά τον θάνατο του διότι αναφέρει πολλά ονόματα, υπαρκτά πρόσωπα. Για όσους λάτρεψαν Το Κοκκινο και το Μαύρο θα αγαπήσετε αυτό το βιβλίο. Αφορά συγκεκριμένη περίοδο της ζωής του. Πολλά μου έμειναν όπως "" Στην λογοτεχνική σταδιοδρομία ακόμα ένα σωρό πράγματα που εχω να κάνω. Οι δουλειές που εχω υπόψιν μου μπορούν να γεμίσουν δέκα ζωές...!!","Catherine Vamianaki","",""
"Πρόκειται για την αυτοπαρατήρηση ως φίλτρο της παρατήρησης του συνόλου ενός απ' τους μεγαλύτερους συμβολιστές ρεαλιστές συγγραφείς. Πραγματικά δε θέλω να γράψω άλλα, θα το χαλάσω. Δεν πρόκειται για λογοτεχνικό έργο, είναι ένα ημερολόγιο λογοτεχνοποιημένο με την στείρα, ισοπεδωτική πένα του Στεντάλ. Είναι σαν το δάκρυ που κυλάει απ' το σοκ στο υπερβολικό ψύχος κι ωστόσο επιτόπου γίνεται συμπαγές, λάμπει σα στολίδι, έχει όμως μια βαθύτερη αξία. Έγραψα κάποτε στη ΛτΒ απ' την πρώτη φορά που το διάβασα, πως ένα απ' τα αγαπημένα μου βιβλία, το Κόκκινο και το μαύρο, είναι υποδεέστερο των Αναμνήσεων Εγωτισμού. Πάντως κρατήστε αυτό, δεν είναι αυτοβιογραφία, γιατί οι αυτοβιογραφίες έχουν δομή και συνέχεια, οι Αναμνήσεις Εγωτισμού στην πραγματικότητα δε διαφέρουν απ' το δεύτερο μέρος του Περί έρωτος όπου σημειώνονται διάφορες σκέψεις και απόψεις του συγγραφέα. Μόνο που εδώ βλέπουμε περισσότερο τον Άνθρωπο, μ�� τις συνήθειες, τους φόβους του, την ιερότητα με την οποία πλησιάζει τους άλλους, έτοιμος να δεχτεί το καλύτερο μέσα σ' αυτούς ακόμα και ως μια ευχάριστη εξαίρεση. Είναι έργο που προσωπικά με καθησυχάζει, νιώθω πως δεν είμαι μόνος μου. Μου αρέσει η επικοινωνία, η καλή επικοινωνία, τη λατρεύω. Ωστόσο επιλέγω την αξιοπρεπή αυτάρκεια παρότι η λύπη με ρίχνει στη μελαγχολία, ίσως και στην κατάθλιψη,, γιατί οι άνθρωποι γύρω δε μπορούν πάντοτε να είναι στον αφρό, ούτε και οι πιο σπουδαίοι. Έχουν ανάγκη στιγμές χαλάρωσης, που για 'μενα προσωπικά πρέπει να κρατούν για πάρτη τους, για το σπίτι τους, όχι να τις μεταφέρουν έξω απ' την ιδιωτική ζωή τους ως ένα κόσμημα μονοσήμαντης διαχυτικότητας, που διαχέεται με πλαστά μέσα που στόχο έχουν να απομακρύνουν απ' τον άνθρωπο δίπλα σου. Κι αυτό που είναι τώρα, πάντα ήταν. Γι' αυτό αυτό το βιβλίο σημαίνει τόσα πολλά. Και γιατί ακόμα κανένας μα κανένας δεν είναι ολικά απορριπτέος, όλοι έχουν κάτι που τους ανήκει, ένα ποιό ανάλογο τους και σε ορισμένες περιπτώσεις πράγματι λάμπουν. Είναι ένα τεράστιο βιβλίο χωρίς καμιά φιλοδοξία να αρέσει. Μόνο να κατανοηθεί και καθένας σας που το αγοράζει δίνει μια ακόμη επιβεβαίωση πως κάποια πράγματα έτσι είναι και όχι αλλιώς. Αλλά και πάλι έγραψα πολλά και δεν το ήθελα. Είναι για 'μενα προσωπικά αυτό το βιβλίο διάφορα. Το τι είναι ή θα γίνει για 'σας, αποφασίστε το μόνοι. Η αξία του είναι προσωπική.","Paradoxe","",""
"This little book ended much better than it began. That may be only because as I got to know the man better the more I wanted to know. And, unfortunately, this is an unfinished memoir. Stendhal intended to give an account of his life in Paris between 1821 and 1831. There were a few references to the later years, but most of the commentary focused on the very early years of 1821-1824.
This edition has a very good introduction by the translator. I learned some background of Stendhal that was not revealed in the memoir. Stendhal's first cousin was Pierre Daru, one of Napoleon's most trusted administrator's and head of his War Department. Because of this relationship, in 1799, young 17-year old Stendhal was given a position in that department. He was acquainted with Bonaparte and much of French society.
Stendhal writes of that French society. By the time of the memoir the Bourbons were back in power, but somehow Stendhal manages not to be on the complete fringe looking in. However, he admits to hating Paris. Ah, but he loves women so, and much of this memoir is about his love life - or lack thereof.
I'm impetuous, passionate, unpredictable, excessively devoted in friendship and love until the first signs of coolness. Then, from the madness of a sixteen year old I move, in a twinkling, to the Machiavellianism of a man of fifty and, after a week, there's nothing left but melting ice, a perfect coolness. (This has just happened to me again the last few days 'with Lady' Angelica, May 1832).
I have yet to read my first Stendhal novel. Ellis says this memoir is written in a much freer style than his fiction. Stendhal has penciled a note in the margin of the original 'Made' fourteen pages on 2 July from five to seven. I couldn't have worked like this on an imaginative work like The Scarlet and the Black. Looking forward to that one!","Elizabeth (Alaska)","",""
"I gotta admit this was a very tedious read for me , and I was boarded out of my mind until I've finished it. what got me through this memoir was what Stendhal said in this quote :
""so I hope that , if boredom doesn't stop people reading this book, they won't find any sense of grievance against men.""
the period that Stendhal lived in was pretty tough I presume, and egotism was one way of making it through out among crowds and living life as a drifter, let alone having many woman as mistresses was a young man's habit.
I don't think I would read this in any time again ... SO BOARD 😵","Ghayeth Ersheidat","",""
"Mon Dieu, Comme ceci est mal écrit !
Stendhal – Souvenirs d’égotisme
Ennuyeux, superficiel, décevant ! Ça ressemble plutôt aux bavardages de nos chères grandes mères , Ou bien à un long registre où l'auteur dressait les noms et les portraits de tous ses gens de société qu’il fréquentait pour échapper a ses chagrins d’amour qui l’accablaient dans ces moments de solitude, mais sans cesser de critiquer leurs pensées , et leurs comportements . Tout au cours de la lecture le grand absent était Stendhal !
A la fin de chaque page je me demandait : A quoi tout cela m’intéresserait ? J’ai pris l’habitude de ne pas abandonner des lectures entamées, sinon je me serai débarrassée de ce livre qui coule de l'ennui depuis les 3 premiers chapitres.
Stendhal écrivait ses souvenirs (de 1821 à 1832) avec une simplicité étonnante, il a prétendu y subir son ego à un examen minutieux de conscience , mais à l’intérieur , on ne trouve que du vide :la finesse des analyses psychologique, La profondeur des expressions qui ont étalé le génie littéraire de Stendhal dans le Rouge et le Noir , ce charme dans l’écriture qui rend des détails non intéressants excitants et importants à nos yeux , tout cela était étrangement absent dans la présente œuvre..
Pourtant, il ne s’agit là que d’un brouillon d’un projet qu’il n’avait pas accomplit , ses souvenirs restaient cachées et n’étaient publiées que 50 ans environ après la mort de son auteur . Je ne pense pas que Stendhal avait la vrai intention de publier ses présentes mémoires sans y changer radicalement dans la forme et dans le contenu. Lui-même il signalait mainte fois sa non satisfaction de ce que ça plume traçait sur le papier. Il serait donc absurde de juger le talent d’un auteur à partir du brouillon d’un projet inaccompli. Voilà la seule justification qui soulage ma grande déception !
A mon simple avis , ce recueil de mémoires inachevé, plutôt à peine commencé , n’apprendra pas grande chose au lecteur à propos du caractère et de l’esprit de son auteur .. Julien, l’héro de son chef d’œuvre "" le Rouge et le Noir "" , qui n’est qu’un Stendhal caché dans la tenue de son héro romanesque t’apprendra beaucoup mieux à propos de la pensée de son auteur et de certains détails de sa vie
Un seul extrait avait réussi à exciter ma réflexion qui restait en repos complet tout au long de la lecture :
Mes jugements varient comme mon humeur , mes jugements ne sont que des apperçus
Stendhal - Souvenir d'égotisme
Cette idée qui était développée plus tard par Nietzsche, ce philosophe qui était largement influencé par la pensée de Stendhal dans le rouge et le noir .","Siham","",""
